image_path,width,height
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/Close up students learning in class _ Free Photo.jpg,626,447
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/Handsome young student in white classic shirt_ _ Premium Photo.jpg,626,417
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/High-quality image of a young Asian girl against a blue background_.jpg,417,626
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/Portrait of a beautiful asian student on a green background _ Premium Photo.jpg,626,417
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/Teachet at work _ Premium Photo.jpg,626,417
C:/Users/keno/OneDrive/Documents/Projects/Friepedia+/IMAGES/Two indonesian high school students do winner gesture clenching fist celebrate success _ Premium Photo.jpg,626,418
